QRS_duration,RR_interval,PQ_interval,QT_interval,file_name,,,,,,,,,
91.81,966.73,96.19,335.44,62.06,cycle_ecg_b3_b1_0.00830.0046.csv,,,,,,,,
91.96,967.67,95.15,335.36,62,cycle_ecg_b3_b1_0.00830.0047.csv,,,,,,,,
90.86,968.57,95.64,335,61.95,cycle_ecg_b3_b1_0.00830.0048.csv,,,,,,,,
91.2,969.52,95.14,335.2,61.89,cycle_ecg_b3_b1_0.00830.0049.csv,,,,,,,,
91.16,970.37,94.31,336.03,61.83,cycle_ecg_b3_b1_0.00830.0050.csv,,,,,,,,
90.72,971.27,94.62,335.88,61.77,cycle_ecg_b3_b1_0.00830.0051.csv,,,,,,,,
91,972.25,93.12,336.65,61.71,cycle_ecg_b3_b1_0.00830.0052.csv,,,,,,,,
90.86,973.18,92.7,336.24,61.65,cycle_ecg_b3_b1_0.00830.0053.csv,,,,,,,,
91.11,974.13,92.41,339,61.59,cycle_ecg_b3_b1_0.00830.0054.csv,,,,,,,,
92.57,953.31,105.23,331.52,62.94,cycle_ecg_b3_b1_0.00830.0030.csv,,,,,,,,
91.67,954.08,105.54,331.71,62.89,cycle_ecg_b3_b1_0.00830.0031.csv,,,,,,,,
92.39,954.89,104.11,331.49,62.83,cycle_ecg_b3_b1_0.00830.0032.csv,,,,,,,,
92.13,955.75,103.8,332.32,62.78,cycle_ecg_b3_b1_0.00830.0033.csv,,,,,,,,
92.1,956.55,102.86,332.56,62.73,cycle_ecg_b3_b1_0.00830.0034.csv,,,,,,,,
92.18,957.38,102.74,332.91,62.67,cycle_ecg_b3_b1_0.00830.0035.csv,,,,,,,,
92.31,958.18,101.56,333.03,62.62,cycle_ecg_b3_b1_0.00830.0036.csv,,,,,,,,
92.66,959.01,100.52,332.76,62.56,cycle_ecg_b3_b1_0.00830.0037.csv,,,,,,,,
91.64,959.85,100.91,332.47,62.51,cycle_ecg_b3_b1_0.00830.0038.csv,,,,,,,,
92.15,960.7,100.23,334.62,62.45,cycle_ecg_b3_b1_0.00830.0039.csv,,,,,,,,
92.53,947.55,104.46,331.95,63.32,cycle_ecg_b3_b1_0.00840.0031.csv,,,,,,,,
92.58,946.32,106.14,330.65,63.4,cycle_ecg_b3_b1_0.00840.0030.csv,,,,,,,,
91.96,947.79,104.75,331.26,63.31,cycle_ecg_b3_b1_0.00840.0032.csv,,,,,,,,
92.12,948.45,104.29,331.41,63.26,cycle_ecg_b3_b1_0.00840.0033.csv,,,,,,,,
92.29,949.21,103.77,331.98,63.21,cycle_ecg_b3_b1_0.00840.0034.csv,,,,,,,,
93.04,942.61,106.68,331.89,63.65,cycle_ecg_b3_b1_0.00840.0030.csv,,,,,,,,
92.3,932.79,109.91,330.39,64.32,cycle_ecg_b3_b1_0.00850.0031.csv,,,,,,,,
